trialType,trialID,Condition,blockID,TargetImage,TargetObjectPos,DistracterImage,DistracterObjectPos,Audio,trialAudioDuration,trialStartSilence,trialEndSilence,AG,AGType,AGImage,AGAudio,AGVideo,AGTime,AGgetInput,AGWidth,AGHeight
test,1,Practice,1,apple,centerRight,ball,centerLeft,look_apple,4500,1000,500,0,,,,,,,,
test,2,Boundary,1,A1,centerRight,B4,centerLeft,where_doff,4500,1000,500,0,,,,,,,,
test,3,Prototype,1,C3,centerLeft,B2,centerRight,find_reng,4500,1000,500,0,,,,,,,,
test,4,Boundary,1,B1,centerRight,C4,centerLeft,look_bosa,4500,1000,500,0,,,,,,,,
test,5,Prototype,1,A3,centerLeft,C2,centerRight,find_doff,4500,1000,500,0,,,,,,,,
test,6,Prototype,1,B3,centerLeft,A2,centerRight,where_bosa,4500,1000,500,0,,,,,,,,
test,7,Boundary,1,C1,centerRight,A4,centerLeft,look_reng,4500,1000,500,0,,,,,,,,
AG,8,,,,,,,,,,,1,movie,,balloons_5,balloons_5,5000,,1920,1080
